co-de;latitude;longitude
a1-28;51.5726277552292;3.12857982787225
a1-31;51.5318038981735;2.7261338828851
a1-32;51.532584817393;2.78375823842324
a1-33;51.5333378435874;2.84138450237529
a1-34;51.5340629754274;2.89901260541276
a1-35;51.5347602116326;2.95664247819387
a1-36;51.5354295509721;3.01427405136405
a1-37;51.5360709922639;3.07190725555644
a1-38;51.5366845343756;3.12954202139239
a1-41;51.4958637362436;2.72740732494499
a1-42;51.4966440636222;2.7849870157284
a1-43;51.4973965191104;2.8425686104902
a1-44;51.498121101381;2.90015204006286
a1-45;51.4988178091561;2.95773723526558
a1-46;51.4994866412069;3.01532412690487
a1-47;51.5001275963537;3.07291264577496
a1-48;51.500740673466;3.13050272265836
a1-51;51.4599229448302;2.72867879387167
a1-52;51.4607026809742;2.78621388905424
a1-53;51.4614545663405;2.84375088379341
a1-54;51.4621785996047;2.90128970908208
a1-55;51.4628747794909;2.9588302959
a1-56;51.4635431047727;3.01637257521421
a1-57;51.4641835742724;3.07391647797956
a1-58;51.4647961868615;3.13146193513921
a2-11;51.6091568525751;3.18534198991496
a2-12;51.6097154398331;3.2430692707113
a2-13;51.6102460824413;3.30079791127206
a2-14;51.6107487794607;3.3585278418523
a2-15;51.6112235300018;3.41625899269776
a2-16;51.6116703332245;3.47399129404533
a2-17;51.6120891883385;3.53172467612354
a2-18;51.6124800946024;3.58945906915308
a2-21;51.5732138413848;3.18626084778422
a2-22;51.5737720050718;3.24394329386723
a2-23;51.5743022453036;3.3016270965485
a2-24;51.5748045611428;3.35931218624541
a2-25;51.5752789517017;3.41699849336607
a2-26;51.5757254161417;3.47468594830974
a2-27;51.5761439536737;3.53237448146738
a2-28;51.576534563558;3.59006402322213
a2-31;51.5372701762238;3.18717827948198
a2-32;51.5378279167745;3.24481596042449
a2-33;51.5383577550427;3.30245499480892
a2-34;51.5388596900931;3.3600953132145
a2-35;51.5393337210393;3.41773684621114
a2-36;51.5397798470443;3.47537952436003
a2-37;51.5401980673204;3.533023278214
a2-38;51.5405883811293;3.5906680383182
a2-41;51.5013258714623;3.18809428832634
a2-42;51.5018831893105;3.24568727353942
a2-43;51.5024126260275;3.30328160904787
a2-44;51.5029141806795;3.36087722559223
a2-45;51.5033878523817;3.41847405390378
a2-46;51.5038336402988;3.47607202470505
a2-47;51.5042515436445;3.53367106871036
a2-48;51.5046415616816;3.59127111662622
a2-51;51.4653809414606;3.18900887762513
a2-52;51.4659378370394;3.24655723635857
a2-53;51.4664668726165;3.30410694225057
a2-54;51.4669680472598;3.3616579262025
a2-55;51.4674413600863;3.41921011910647
a2-56;51.4678868102619;3.47676345184593
a2-57;51.4683043970017;3.53431785529606
a2-58;51.4686941195701;3.59187326032437
a3-11;51.6128430513249;3.64719440334734
a3-12;51.6131780578637;3.70493060891283
a3-13;51.6134851136262;3.76266761604981
a3-14;51.6137642180692;3.82040535495265
a3-15;51.6140153706992;3.87814375581048
a3-16;51.6142385710719;3.93588274880757
a3-17;51.6144338187927;3.99362226412393
a3-18;51.6146011135164;4.05136223193579
a3-21;51.5768972451042;3.64775450394986
a3-22;51.5772319976714;3.7054458540196
a3-23;51.5775388206679;3.7631380037941
a3-24;51.5778177135517;3.82083088363034
a3-25;51.57806867583;3.87852442387997
a3-26;51.5782917070593;3.93621855488989
a3-27;51.5784868068458;3.99391320700271
a3-28;51.5786539748449;4.05160831055727
a3-31;51.5409507877818;3.64831373521042
a3-32;51.5412852866381;3.70596029942171
a3-33;51.5415918771077;3.76360766147686
a3-34;51.5418705586493;3.82125575189487
a3-35;51.5421213307713;3.87890450118949
a3-36;51.5423441930309;3.93655383986969
a3-37;51.5425391450349;3.99420369844019
a3-38;51.5427061864394;4.05185400740195
a3-41;51.5050036937222;3.64887209915194
a3-42;51.5053379391278;3.70647394698008
a3-43;51.5056442973089;3.76407659079692
a3-44;51.5059227677252;3.82167996128305
a3-45;51.5061733498859;3.87928398911374
a3-46;51.506396043349;3.93688860495957
a3-47;51.5065908477221;3.99449373948687
a3-48;51.5067577626619;4.05209932335819
a3-51;51.4690559772802;3.64942959779111
a3-52;51.4693899694948;3.70698679854985
a3-53;51.4696960956254;3.76454479344791
a3-54;51.4699743551327;3.82210351332689
a3-55;51.4702247475267;3.87966288902316
a3-56;51.4704472723663;3.93722285136838
a3-57;51.4706419292598;3.99478333118995
a3-58;51.4708087178644;4.05234425931159
a4-11;51.6147404549475;4.10910258241606
a4-12;51.6148518428396;4.16684324573491
